Page,Line,Author,Date & Time,Comment,Reference Text
1,12,Austin Thompson,8/17/2023 17:18,LPE-OS,So I don't know necessarily that I've had any experience with using open science practices.
1,14,Austin Thompson,8/17/2023 17:19,"TE-OA, TE-W","I have attended continuing education sessions on how to access research more easily, and to avoid paying for articles and getting around paywalls."
1,15,Austin Thompson,8/17/2023 17:19,LPE-OS,"But other than that, I haven't really had much opportunity."
1,19,Austin Thompson,8/17/2023 17:22,"TE-NE, TE-OS","I would second that I would say. During my training, and even through, I would say, local continuing education at my university. I have not had much experience with open science practices."
1,20,Austin Thompson,8/17/2023 17:25,"PE-OA, PE-OM, IOS-Tr","I am trying to be more transparent about my work, and like using like posting protocols and trying to publish open access when possible."
1,21,Austin Thompson,8/17/2023 17:26,"B-OD, B-CX","And then sharing data is a little more complicated, I would say, from my perspective."
1,31,Austin Thompson,8/17/2023 17:30,"F-OA, F-M","And so there's money that researchers can apply for to support open acc...to cover the open access fees for publishing in an open access journal. They also have some. The University has some relationships, I guess, with Elsevier, or other things where we can also publish in certain journals. We can publish in a non- open access journal, but cover the open access fees through that. "
1,31,Austin Thompson,8/17/2023 17:29,"F-IS, F-OA","So I work at a university, and our library, our librarians are very active in increasing...sorry my cat...open access, so they do a lot of training. We have an open access publication fund that was supported by the librarians. And so there's money that researchers can apply for to support open acc...to cover the open access fees for publishing in an open access journal. They also have some. The University has some relationships, I guess, with Elsevier, or other things where we can also publish in certain journals. We can publish in a non- open access journal, but cover the open access fees through that. "
1,38,Austin Thompson,8/17/2023 17:30,"F-OA, F-IS","And we also have a Scholar Works which is the institutional repository. So when...and I don't know that that's really caught on super widely in the university. But they are trying to do a lot to get the word out that when when researchers, you know whether they be faculty, staff, lecturors at the university publish, they can put them in that repository, and then they're available to people within institution, which, as in, as I understand, is a little more. You know, you can do that before you before the embargo date, since it's not technically public."
1,43,Austin Thompson,8/17/2023 17:31,LPE-OS,"Yeah, i'll go ahead if that's okay. Let's see. I haven't done a whole lot related to open science exactly."
1,44,Austin Thompson,8/17/2023 17:32,"TE-OS, TE-P","I've listened to several different podcasts talking about the various aspects of open science, so I feel like I have a decent understanding of the different components of it."
1,45,Austin Thompson,8/17/2023 17:32,LPE-OS,But haven't implemented.
